20210721,21-07-2021,21,7,2021,21,07,95.526,101.762
20210720,20-07-2021,20,7,2021,20,07,95.468,101.751
20210719,19-07-2021,19,7,2021,19,07,95.436,101.719
20210716,16-07-2021,16,7,2021,16,07,95.372,101.654
20210715,15-07-2021,15,7,2021,15,07,95.361,101.643
20210714,14-07-2021,14,7,2021,14,07,95.343,101.627
20210713,13-07-2021,13,7,2021,13,07,95.189,101.482
20210712,12-07-2021,12,7,2021,12,07,95.13,101.418
20210708,08-07-2021,8,7,2021,08,07,95.064,101.347
20210707,07-07-2021,7,7,2021,07,07,95.057,101.34
20210706,06-07-2021,6,7,2021,06,07,95.042,101.326
20210705,05-07-2021,5,7,2021,05,07,94.995,101.277
20210702,02-07-2021,2,7,2021,02,07,94.904,101.193
20210701,01-07-2021,1,7,2021,01,07,94.889,101.193
20210630,30-06-2021,30,6,2021,30,06,94.89,101.17
20210629,29-06-2021,29,6,2021,29,06,94.858,101.138
20210628,28-06-2021,28,6,2021,28,06,94.745,101.104
20210625,25-06-2021,25,6,2021,25,06,94.657,100.989
20210624,24-06-2021,24,6,2021,24,06,94.612,100.891
20210623,23-06-2021,23,6,2021,23,06,94.605,100.885
20210622,22-06-2021,22,6,2021,22,06,94.471,100.694
20210618,18-06-2021,18,6,2021,18,06,94.435,100.714
20210617,17-06-2021,17,6,2021,17,06,94.435,100.705
20210616,16-06-2021,16,6,2021,16,06,94.414,100.617
20210615,15-06-2021,15,6,2021,15,06,94.385,100.665
20210614,14-06-2021,14,6,2021,14,06,94.255,100.534
20210611,11-06-2021,11,6,2021,11,06,94.079,100.392
20210610,10-06-2021,10,6,2021,10,06,94.09,100.369
20210609,09-06-2021,9,6,2021,09,06,94.09,100.36
20210608,08-06-2021,8,6,2021,08,06,94.071,100.374
20210607,07-06-2021,7,6,2021,07,06,94.078,100.366
20210604,04-06-2021,4,6,2021,04,06,93.997,100.276
20210603,03-06-2021,3,6,2021,03,06,93.983,100.263
20210602,02-06-2021,2,6,2021,02,06,93.975,100.255
20210601,01-06-2021,1,6,2021,01,06,93.945,100.228
20210531,31-05-2021,31,5,2021,31,05,93.804,100.092
20210528,28-05-2021,28,5,2021,28,05,93.752,100.035
20210527,27-05-2021,27,5,2021,27,05,93.736,100.023
20210526,26-05-2021,26,5,2021,26,05,93.673,99.956
20210521,21-05-2021,21,5,2021,21,05,93.43,99.713
20210520,20-05-2021,20,5,2021,20,05,93.425,99.708
20210519,19-05-2021,19,5,2021,19,05,93.411,99.695
20210518,18-05-2021,18,5,2021,18,05,93.356,99.64
20210517,17-05-2021,17,5,2021,17,05,93.356,99.64
20210514,14-05-2021,14,5,2021,14,05,93.206,99.509
20210513,13-05-2021,13,5,2021,13,05,93.235,99.51
20210512,12-05-2021,12,5,2021,12,05,93.235,99.51
20210511,11-05-2021,11,5,2021,11,05,93.227,99.502
20210510,10-05-2021,10,5,2021,10,05,93.227,99.501
20210507,07-05-2021,7,5,2021,07,05,93.142,99.425
20210506,06-05-2021,6,5,2021,06,05,93.127,99.338
20210505,05-05-2021,5,5,2021,05,05,93.054,99.329
20210504,04-05-2021,4,5,2021,04,05,93.014,99.297
20210503,03-05-2021,3,5,2021,03,05,92.924,99.209
20210430,30-04-2021,30,4,2021,30,04,92.703,98.898
20210429,29-04-2021,29,4,2021,29,04,92.679,98.967
20210428,28-04-2021,28,4,2021,28,04,92.624,98.91
20210427,27-04-2021,27,4,2021,27,04,92.6,98.885
20210426,26-04-2021,26,4,2021,26,04,92.599,98.885
20210423,23-04-2021,23,4,2021,23,04,92.491,98.776
20210422,22-04-2021,22,4,2021,22,04,92.349,98.635
20210421,21-04-2021,21,4,2021,21,04,92.324,98.61
20210420,20-04-2021,20,4,2021,20,04,92.308,98.594
20210419,19-04-2021,19,4,2021,19,04,92.302,98.592
20210416,16-04-2021,16,4,2021,16,04,92.234,98.519
20210415,15-04-2021,15,4,2021,15,04,92.187,98.474
20210414,14-04-2021,14,4,2021,14,04,92.148,98.315
20210413,13-04-2021,13,4,2021,13,04,92.033,98.33
20210412,12-04-2021,12,4,2021,12,04,92.017,98.314
20210409,09-04-2021,9,4,2021,09,04,91.929,98.21
20210408,08-04-2021,8,4,2021,08,04,91.91,98.196
20210407,07-04-2021,7,4,2021,07,04,91.907,98.193
20210406,06-04-2021,6,4,2021,06,04,91.815,98.1
20210405,05-04-2021,5,4,2021,05,04,91.815,98.103
20210331,31-03-2021,31,3,2021,31,03,91.536,97.685
20210330,30-03-2021,30,3,2021,30,03,91.454,97.605
20210329,29-03-2021,29,3,2021,29,03,91.456,97.608
20210326,26-03-2021,26,3,2021,26,03,91.262,97.565
20210325,25-03-2021,25,3,2021,25,03,91.174,97.454
20210323,23-03-2021,23,3,2021,23,03,91.194,97.326
20210322,22-03-2021,22,3,2021,22,03,90.963,97.095
20210319,19-03-2021,19,3,2021,19,03,90.721,96.984
20210318,18-03-2021,18,3,2021,18,03,90.703,96.825
20210317,17-03-2021,17,3,2021,17,03,90.626,96.756
20210316,16-03-2021,16,3,2021,16,03,90.561,96.807
20210315,15-03-2021,15,3,2021,15,03,90.435,96.691
20210312,12-03-2021,12,3,2021,12,03,90.241,96.494
20210311,11-03-2021,11,3,2021,11,03,90.197,96.448
20210310,10-03-2021,10,3,2021,10,03,90.202,96.308
20210309,09-03-2021,9,3,2021,09,03,89.903,96.068
20210308,08-03-2021,8,3,2021,08,03,89.756,95.997
20210305,05-03-2021,5,3,2021,05,03,89.578,95.685
20210304,04-03-2021,4,3,2021,04,03,89.51,95.751
20210303,03-03-2021,3,3,2021,03,03,89.314,95.637
20210302,02-03-2021,2,3,2021,02,03,89.427,95.668
20210301,01-03-2021,1,3,2021,01,03,89.383,95.489
20210226,26-02-2021,26,2,2021,26,02,88.873,95.118
20210225,25-02-2021,25,2,2021,25,02,88.831,95.076
20210224,24-02-2021,24,2,2021,24,02,88.759,95.018
20210223,23-02-2021,23,2,2021,23,02,88.715,94.826
20210222,22-02-2021,22,2,2021,22,02,88.469,94.768
20210219,19-02-2021,19,2,2021,19,02,88.132,94.402
20210218,18-02-2021,18,2,2021,18,02,88.048,94.293
20210217,17-02-2021,17,2,2021,17,02,87.986,94.231
20210212,12-02-2021,12,2,2021,12,02,87.707,93.952
20210211,11-02-2021,11,2,2021,11,02,87.755,93.866
20210210,10-02-2021,10,2,2021,10,02,87.615,93.726
20210209,09-02-2021,9,2,2021,09,02,87.335,93.58
20210208,08-02-2021,8,2,2021,08,02,87.322,93.567
20210205,05-02-2021,5,2,2021,05,02,87.072,93.317
20210204,04-02-2021,4,2,2021,04,02,86.946,93.189
20210203,03-02-2021,3,2,2021,03,02,86.854,92.962
20210202,02-02-2021,2,2,2021,02,02,86.817,93.062
20210201,01-02-2021,1,2,2021,01,02,86.74,92.985
